date,sale
1399-09-22,364.70593
1399-09-23,367.10455
1399-09-24,347.82135
1399-09-25,331.04083
1399-09-26,326.77097
1399-09-27,332.3763
1399-09-28,341.78967
1399-09-29,349.74597
1399-09-30,352.8221
1399-10-01,350.80408
1399-10-02,350.80408
1399-10-03,346.39365
1399-10-04,345.78436
1399-10-05,346.375
1399-10-06,347.97308
1399-10-07,349.4565
1399-10-08,350.03897
1399-10-09,349.6495
1399-10-10,348.77542
1399-10-11,348.03745
1399-10-12,348.03745
1399-10-13,348.26077
1399-10-14,348.74045
1399-10-15,349.04108
1399-10-16,349.06323
1399-10-17,348.86615
1399-10-18,348.6122
1399-10-19,348.452
1399-10-20,348.44275
1399-10-21,348.5425
